dataset_name,nl,n,clf,svm_gamma,reg,acc_mean,acc_std
circles,0.0,10,log_reg,,0.01,0.4000,0.4899
circles,0.0,10,log_reg,,0.1,0.4000,0.4899
circles,0.0,10,log_reg,,1.0,0.4000,0.4899
circles,0.0,10,log_reg,,10.0,0.4000,0.4899
circles,0.0,10,log_reg,,100.0,0.4000,0.4899
circles,0.0,10,svm,0.001,1.0,0.6000,0.4899
circles,0.0,10,svm,0.01,1.0,0.6000,0.4899
circles,0.0,10,svm,0.1,1.0,0.6000,0.4899
circles,0.0,10,svm,1.0,1.0,0.4000,0.4899
circles,0.0,10,svm,10.0,1.0,0.7000,0.4583
circles,0.0,10,svm,100.0,1.0,0.6000,0.4899
circles,0.0,10,svm,1000.0,1.0,0.6000,0.4899
circles,0.0,10,svm,10000.0,1.0,0.6000,0.4899
circles,0.0,10,svm,100000.0,1.0,0.6000,0.4899
circles,0.0,10,svm,1000000.0,1.0,0.6000,0.4899
circles,0.0,50,log_reg,,0.01,0.5200,0.1600
circles,0.0,50,log_reg,,0.1,0.5200,0.1600
circles,0.0,50,log_reg,,1.0,0.5200,0.1600
circles,0.0,50,log_reg,,10.0,0.5200,0.1600
circles,0.0,50,log_reg,,100.0,0.5200,0.1600
circles,0.0,50,svm,0.001,1.0,0.3600,0.1960
circles,0.0,50,svm,0.01,1.0,0.3600,0.1960
circles,0.0,50,svm,0.1,1.0,0.4400,0.1960
circles,0.0,50,svm,1.0,1.0,0.6200,0.1400
circles,0.0,50,svm,10.0,1.0,0.8200,0.1661
circles,0.0,50,svm,100.0,1.0,0.8200,0.1661
circles,0.0,50,svm,1000.0,1.0,0.5200,0.1833
circles,0.0,50,svm,10000.0,1.0,0.4200,0.1661
circles,0.0,50,svm,100000.0,1.0,0.4000,0.1789
circles,0.0,50,svm,1000000.0,1.0,0.3600,0.1960
circles,0.0,100,log_reg,,0.01,0.4800,0.1249
circles,0.0,100,log_reg,,0.1,0.4800,0.1249
circles,0.0,100,log_reg,,1.0,0.4800,0.1249
circles,0.0,100,log_reg,,10.0,0.4800,0.1249
circles,0.0,100,log_reg,,100.0,0.4800,0.1249
circles,0.0,100,svm,0.001,1.0,0.5400,0.1497
circles,0.0,100,svm,0.01,1.0,0.5400,0.1497
circles,0.0,100,svm,0.1,1.0,0.4500,0.0922
circles,0.0,100,svm,1.0,1.0,1.0000,0.0000
circles,0.0,100,svm,10.0,1.0,0.9900,0.0300
circles,0.0,100,svm,100.0,1.0,0.9400,0.0663
circles,0.0,100,svm,1000.0,1.0,0.7800,0.1249
circles,0.0,100,svm,10000.0,1.0,0.6200,0.1661
circles,0.0,100,svm,100000.0,1.0,0.5400,0.1497
circles,0.0,100,svm,1000000.0,1.0,0.5400,0.1497
circles,0.0,1000,log_reg,,0.01,0.4990,0.0446
circles,0.0,1000,log_reg,,0.1,0.4990,0.0446
